0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
JLPT-N3	13	生産	せいさん	Noun, Suru verb	1.-production; manufacture	2.-Outline of industrial organization																		
JLPT-N3	14	入学	にゅうがく	Noun, Suru verb	1.-entry to school or university; matriculation; enrolment (in university, etc.) (enrollment)	2.-Matriculation																		
JLPT-N3	15	喧嘩	けんか	Noun, Suru verb	1.-quarrel; brawl; fight; squabble; scuffle; argument	2.-Brawling (legal definition)																		
JLPT-N3	16	正直	しょうじき	Na-adjective, Noun	1.-honest; frank; candid; straightforward	2.-honestly; frankly	3.-Shoujiki	4.-Honesty																
JLPT-N3	17	一致	いっち	Noun, Suru verb	1.-coincidence; agreement; union; match	2.-conformity; consistency	3.-cooperation	4.-Icchi	5.-Agreement (linguistics)															
JLPT-N3	18	博物館	はくぶつかん	Noun	1.-museum	2.-Hakubutsukan	3.-Museum																	
JLPT-N3	19	皿	さら	Noun	1.-plate; dish; platter; disc	2.-serving; helping; course	3.-kanji radical 108 (at the bottom)	4.-Sara	5.-Plate (dishware)															
JLPT-N3	20	舞台	ぶたい	Noun	1.-stage (theatre, theater)	2.-scene or setting (e.g. of novel, play, etc.)	3.-Butai	4.-Stage (theatre)																
JLPT-N3	21	寄付	きふ	Noun, Suru verb	1.-contribution; donation	2.-Kifu	3.-Donation																	
JLPT-N3	22	猿	さる	Noun	1.-monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate	2.-sly person	3.-idiot; hick	4.-sliding wooden bolt (for holding a door or window shut)	5.-clasp used to control the height of a pot-hook	6.-bathhouse prostitute	7.-Sarh (Chad); Sal	8.-Monkey												
JLPT-N3	23	平等	びょうどう	Na-adjective, No-adjective, Noun	1.-equality; impartiality; evenness	2.-Byoudou	3.-Equality																	
JLPT-N3	24	左右	さゆう	Noun, Suru verb	1.-left and right; right and left	2.-(asserting) control; influence; domination	3.-one's attendants; people accompanying one	4.-(serving at somebody's) side	5.-equivocation	6.-Sou	7.-Relative direction													
JLPT-N3	25	金属	きんぞく	Noun	1.-metal	2.-Kinzoku	3.-Metal																	
JLPT-N3	26	商人	しょうにん	Noun	1.-merchant; trader; tradesman; dealer; shopkeeper	2.-Akindo	3.-Merchant																	
JLPT-N3	27	国境	こっきょう	Noun, No-adjective	1.-national border; provincial border	2.-Kunizakai	3.-Border																	
JLPT-N3	28	集団	しゅうだん	Noun	1.-group; mass	2.-Shuudan	3.-Crowd																	
JLPT-N3	29	根	ね	Noun	1.-root (of a plant)	2.-root (of a tooth, hair, etc.); center (of a pimple, etc.)	3.-root (of all evil, etc.); source; origin; cause; basis	4.-one's true nature	5.-(fishing) reef	6.-Ne	7.-Root													
JLPT-N3	30	鎖	くさり	Noun	1.-chain; chains	2.-Kusari	3.-Cable length																	
JLPT-N3	31	一番	いちばん	Noun, No-adjective	1.-number one; first; first place	2.-best; most	3.-game; round; bout	4.-as a test; as an experiment; by way of experiment; by way of trial; tentatively	5.-song (e.g. in noh); piece	6.-Ichiban														
JLPT-N3	32	時	とき	Noun	1.-time; hour; moment	2.-occasion; case	3.-chance; opportunity; season	4.-the times; the age; the day	5.-tense	6.-Autumn														
JLPT-N3	33	元	もと	Noun	1.-origin; source	2.-base; basis; foundation; root	3.-cause	4.-ingredient; material	5.-(somebody's) side; (somebody's) location	6.-original cost (or capital, principal, etc.)	7.-(plant) root; (tree) trunk	8.-first section of a waka	9.-counter for blades of grass, tree trunks, etc., and for falcons (in falconry)	10.-handle (chopsticks, brush, etc.); grip	11.-Book									
JLPT-N3	34	計画	けいかく	Noun, Suru verb	1.-plan; project; schedule; scheme; program; programme	2.-Plan																		
JLPT-N3	35	少年	しょうねん	Noun	1.-boy; juvenile; young boy; youth; lad	2.-Boy																		
JLPT-N3	36	列車	れっしゃ	Noun	1.-train; railway train	2.-Train																		
JLPT-N3	37	健康	けんこう	Noun	1.-health	2.-healthy; sound; fit; wholesome	3.-Health																	
JLPT-N3	38	人間	にんげん	Noun	1.-human being; person; man; mankind; humankind	2.-character (of a person)	3.-Human																	
JLPT-N3	39	結果	けっか	Noun, Suru verb	1.-result; consequence; outcome; effect	2.-coming to fruition; bearing fruit	3.-as a result; consequently; therefore	4.-Corollary																
JLPT-N3	40	理解	りかい	Noun, Suru verb	1.-understanding; comprehension; appreciation; sympathy	2.-Understanding																		
JLPT-N3	41	少女	しょうじょ	Noun	1.-little girl; maiden; young lady; female usually between 7 and 18 years old	2.-female between 17 and 20 years old (ritsuryo period)	3.-Girl																	
JLPT-N3	42	事実	じじつ	Adverbial noun, Noun	1.-fact; truth; reality	2.-Fact																		
JLPT-N3	43	食事	しょくじ	Noun, Suru verb	1.-meal; dinner	2.-diet	3.-Meal																	
JLPT-N3	44	人生	じんせい	Noun	1.-(human) life (i.e. conception to death)	2.-Human life																		
JLPT-N3	45	母親	ははおや	Noun, No-adjective	1.-mother	2.-Mother																		
JLPT-N3	46	行動	こうどう	Noun, Suru verb, No-adjective	1.-action; conduct; behaviour; behavior; mobilization; mobilisation	2.-Behavior																		
JLPT-N3	47	父親	ちちおや	Noun	1.-father	2.-Father																		
JLPT-N3	48	太陽	たいよう	Noun	1.-sun	2.-Sun																		
JLPT-N3	49	幸福	こうふく	Noun, Na-adjective	1.-happiness; well-being; joy; welfare; blessedness	2.-Happiness																		
JLPT-N3	50	政府	せいふ	Noun	1.-government; administration	2.-Government																		
JLPT-N3	51	経験	けいけん	Noun, Suru verb	1.-experience	2.-Experience																		
JLPT-N3	52	責任	せきにん	Noun	1.-duty; responsibility (incl. supervision of staff)	2.-liability; onus	3.-Moral responsibility																	
JLPT-N3	53	我慢	がまん	Noun, Suru verb	1.-patience; endurance; perseverance; tolerance; self-control; self-denial	2.-Gaman (term)	3.-ガマン																	
JLPT-N3	54	噂	うわさ	Noun, Suru verb, No-adjective	1.-rumour; rumor; report; hearsay; gossip; common talk	2.-Rumor																		
JLPT-N3	55	道路	どうろ	Noun	1.-road; highway	2.-Road																		
JLPT-N3	56	機械	きかい	Noun	1.-machine; mechanism	2.-instrument; appliance; apparatus	3.-Machine																	
JLPT-N3	57	地球	ちきゅう	Noun	1.-Earth; the globe	2.-Earth																		
JLPT-N3	58	秘密	ひみつ	Noun, Na-adjective, No-adjective	1.-secret; secrecy; confidentiality; privacy	2.-mystery	3.-secret (e.g. to success)	4.-esoteric teachings	5.-Secrecy															
JLPT-N3	59	偶然	ぐうぜん	Noun, Na-adjective, No-adjective	1.-coincidence; chance; accident; fortuity	2.-by chance; unexpectedly; accidentally	3.-contingency (philosophy)	4.-Contingency (philosophy)																
JLPT-N3	60	情報	じょうほう	Noun	1.-information; news; intelligence; advices	2.-information; data contained in characters, signals, code, etc.	3.-Information																	
JLPT-N3	61	現在	げんざい	Adverbial noun, Temporal noun	1.-now; current; present; present time; as of	2.-Present																		
JLPT-N3	62	昼食	ちゅうしょく	Noun	1.-lunch; midday meal	2.-food served at a tea party (tea ceremony)	3.-Lunch																	
JLPT-N3	63	期待	きたい	Noun, Suru verb	1.-expectation; anticipation; hope	2.-Expectation (epistemic)																		
JLPT-N3	64	嵐	あらし	Noun	1.-storm; tempest	2.-storm; hullaballoo; uproar; winds (e.g. of change)	3.-Storm																	
JLPT-N3	65	丘	おか	Noun	1.-hill; height; knoll; rising ground	2.-bonus points awarded to the winner at the end of a game	3.-Hill																	
JLPT-N3	66	運動	うんどう	Noun, Suru verb	1.-exercise; physical training; work-out	2.-appeal; campaign; drive; crusade; movement; lobbying	3.-motion; movement	4.-Movement																
JLPT-N3	67	大統領	だいとうりょう	Noun	1.-president (of a nation or company); chief executive	2.-big man; boss; buddy; mate	3.-President																	
JLPT-N3	68	演説	えんぜつ	Noun, Suru verb	1.-speech; address	2.-Public speaking																		
JLPT-N3	69	神	かみ	Noun	1.-god; deity; divinity; spirit; kami	2.-incredible; fantastic; amazing	3.-emperor of Japan	4.-thunder	5.-God															
JLPT-N3	70	読書	どくしょ	Noun, Suru verb	1.-reading	2.-Reading (process)																		
JLPT-N3	71	馬	うま	Noun	1.-horse	2.-horse racing	3.-promoted bishop	4.-Horse																
JLPT-N3	72	詩	し	Noun	1.-poem; verse of poetry	2.-Poetry																		
JLPT-N3	73	知識	ちしき	Noun	1.-knowledge; information	2.-Knowledge																		
JLPT-N3	74	都市	とし	Noun, No-adjective	1.-town; city; municipal; urban	2.-City																		
JLPT-N3	75	収入	しゅうにゅう	Noun	1.-income; receipts; revenue	2.-Income																		
JLPT-N3	76	嘘	うそ	Noun, No-adjective	1.-lie; fib; falsehood; untruth	2.-mistake; error	3.-unwise move; bad decision	4.-no way!; unbelievable!; really?!	5.-Lie															
JLPT-N3	77	詩人	しじん	Noun	1.-poet	2.-Poet																		
JLPT-N3	78	涙	なみだ	Noun	1.-tear; tears; lachrymal secretion	2.-sympathy	3.-Tears																	
JLPT-N3	79	円	えん	Noun	1.-yen; Japanese monetary unit	2.-circle	3.-圓																	
JLPT-N3	80	酒	さけ	Noun	1.-alcohol; sake	2.-Alcoholic beverage																		
JLPT-N3	81	財産	ざいさん	Noun	1.-property; fortune; assets	2.-Estate (law)																		
JLPT-N3	82	勇気	ゆうき	Noun	1.-courage; bravery; valour; valor; nerve; boldness	2.-Courage																		
JLPT-N3	83	発見	はっけん	Noun, Suru verb	1.-discovery; detection; finding	2.-Discovery (observation)																		
JLPT-N3	84	解決	かいけつ	Noun, Suru verb	1.-settlement; solution; resolution	2.-Resolution (music)																		
JLPT-N3	85	学者	がくしゃ	Noun, No-adjective	1.-scholar	2.-Academician																		
JLPT-N3	86	患者	かんじゃ	Noun	1.-patient	2.-Patient																		
JLPT-N3	87	存在	そんざい	Noun, Suru verb, No-adjective	1.-existence; being	2.-Existence																		
JLPT-N3	88	信頼	しんらい	Noun, Suru verb	1.-reliance; trust; faith; confidence	2.-Trust (social sciences)																		
JLPT-N3	89	言語	げんご	Noun	1.-language	2.-Language																		
JLPT-N3	90	海外	かいがい	Noun, No-adjective	1.-foreign; abroad; overseas	2.-Overseas																		
JLPT-N3	91	作家	さっか	Noun	1.-author; writer; novelist; artist	2.-Author																		
JLPT-N3	92	平和	へいわ	Na-adjective, Noun	1.-peace; harmony	2.-Peace																		
JLPT-N3	93	希望	きぼう	Noun, Suru verb	1.-hope; wish; aspiration	2.-Hope																		
JLPT-N3	94	調査	ちょうさ	Noun, Suru verb	1.-investigation; examination; inquiry; enquiry; survey	2.-Survey methodology																		
JLPT-N3	95	地域	ちいき	Noun	1.-area; region	2.-Region																		
JLPT-N3	96	気候	きこう	Noun	1.-climate	2.-Climate																		
JLPT-N3	97	愛	あい	Noun, Noun - used as a suffix	1.-love; affection; care	2.-attachment; craving; desire	3.-agape (Christian love)	4.-Love																
JLPT-N3	98	実験	じっけん	Noun, Suru verb	1.-experiment	2.-Experiment																		
JLPT-N3	99	権利	けんり	Noun	1.-right; privilege	2.-Rights																		
JLPT-N3	100	国民	こくみん	Noun	1.-people (of a country); nation; citizen; national	2.-Nation																		
JLPT-N3	101	騒音	そうおん	Noun	1.-noise; din	2.-Noise pollution																		
JLPT-N3	102	義務	ぎむ	Noun, No-adjective	1.-duty; obligation; responsibility	2.-Duty																		
JLPT-N3	103	釣り	つ	Noun	1.-fishing; angling	2.-change (for a purchase)	3.-trolling; writing deliberately inflammatory posts online	4.-Angling																
JLPT-N3	104	胸	むね	Noun	1.-chest; breast	2.-breasts; bosom; bust	3.-heart	4.-lungs	5.-stomach	6.-heart; mind; feelings	7.-Chest													
JLPT-N3	105	利益	りえき	Noun, Suru verb	1.-profit; gains	2.-benefit; advantage; interest (of the public, etc.)	3.-grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.); blessing; miracle	4.-Profit (economics)																
JLPT-N3	106	物価	ぶっか	Noun	1.-prices of commodities; prices (in general); cost-of-living	2.-Price index																		
JLPT-N3	107	過去	かこ	Noun, No-adjective	1.-the past; bygone days; the previous	2.-a past (i.e. a personal history one would prefer remained secret); one's past	3.-past (tense); preterit; preterite	4.-previous life	5.-Past															
JLPT-N3	108	教授	きょうじゅ	Noun	1.-professor	2.-teaching; instruction	3.-Professor																	
JLPT-N3	109	植物	しょくぶつ	Noun	1.-plant; vegetation	2.-Plant																		
JLPT-N3	110	発明	はつめい	Noun, Suru verb	1.-invention	2.-intelligent; clever; smart	3.-making sense (of something); understanding	4.-Invention																
JLPT-N3	111	氷	こおり	Noun	1.-ice	2.-shaved ice (usually served with flavored simple syrup)	3.-Ice																	
JLPT-N3	112	痛み	いた	Noun	1.-pain; ache; soreness; grief; distress	2.-damage; injury; wear; bruise; break	3.-Pain (philosophy)																	
JLPT-N3	113	石油	せきゆ	Noun	1.-oil; petroleum	2.-kerosene; paraffin	3.-Petroleum																	
JLPT-N3	114	進歩	しんぽ	Noun, Suru verb	1.-progress; advance; improvement; development	2.-Progress (history)																		
JLPT-N3	115	物語	ものがたり	Noun, Suru verb, No-adjective	1.-tale; story; legend	2.-Monogatari																		
JLPT-N3	116	感情	かんじょう	Noun, No-adjective	1.-emotion; feeling; feelings; sentiment	2.-Emotion																		
JLPT-N3	117	週	しゅう	Noun, Noun - used as a suffix	1.-week	2.-Week																		
JLPT-N3	118	屋根	やね	Noun	1.-roof	2.-Roof																		
JLPT-N3	119	恐怖	きょうふ	Noun, Suru verb	1.-fear; dread; dismay; terror; horror; scare; panic	2.-Fear																		
JLPT-N3	120	議長	ぎちょう	Noun	1.-chairman; speaker (e.g. of assembly); president (e.g. of council, senate, etc.); moderator (e.g. of a newsgroup)	2.-Speaker (politics)																		
JLPT-N3	121	費用	ひよう	Noun	1.-cost; expense	2.-Cost																		
JLPT-N3	122	商品	しょうひん	Noun	1.-commodity; article of commerce; goods; stock; merchandise	2.-Product (business)																		
JLPT-N3	123	否定	ひてい	Noun, Suru verb, No-adjective	1.-denial; negation; repudiation; disavowal	2.-negation (logic)	3.-NOT operation	4.-Negation																
JLPT-N3	124	作品	さくひん	Noun	1.-work (e.g. book, film, composition, etc.); opus; performance; production	2.-Work of art																		
JLPT-N3	125	賞	しょう	Noun, Noun - used as a suffix	1.-prize; award	2.-Award																		
JLPT-N3	126	城	しろ	Noun	1.-castle	2.-Castle																		
JLPT-N3	127	価格	かかく	Noun	1.-price; value; cost	2.-Price																		
JLPT-N3	128	留学	りゅうがく	Noun, Suru verb	1.-studying abroad	2.-Study abroad in the United States																		
JLPT-N3	129	犯罪	はんざい	Noun, No-adjective	1.-crime; offence; offense	2.-Crime																		
JLPT-N3	130	肩	かた	Noun	1.-shoulder	2.-Shoulder																		
JLPT-N3	131	評価	ひょうか	Noun, Suru verb	1.-valuation; appraisal; evaluation; assessment; estimation; rating; judging	2.-appreciation; recognition; acknowledgement; rating highly; praising	3.-Assessment																	
JLPT-N3	132	正午	しょうご	Adverbial noun, Temporal noun	1.-noon; midday	2.-Noon																		
JLPT-N3	133	意志	いし	Noun	1.-will; volition; intention; intent; determination	2.-Will (philosophy)																		
JLPT-N3	134	職業	しょくぎょう	Noun, No-adjective	1.-occupation; business	2.-Job (role)																		
JLPT-N3	135	家具	かぐ	Noun	1.-furniture	2.-Furniture																		
JLPT-N3	136	首相	しゅしょう	Noun	1.-Prime Minister; Chancellor (Germany, Austria, etc.); Premier	2.-Prime minister																		
JLPT-N3	137	不安	ふあん	Noun, Na-adjective	1.-anxiety; uneasiness; worry; apprehension; fear; insecurity; suspense	2.-Anxiety																		
JLPT-N3	138	劇場	げきじょう	Noun, No-adjective	1.-theatre; theater; playhouse	2.-Theater (structure)																		
JLPT-N3	139	自然	しぜん	Noun	1.-nature	2.-natural; spontaneous; automatic	3.-naturally; spontaneously; automatically	4.-Nature																
JLPT-N3	140	意識	いしき	Noun, Suru verb	1.-consciousness	2.-becoming aware (of); awareness; sense	3.-mano-vijnana (mental consciousness, cognizer of sensory information)	4.-Consciousness																
JLPT-N3	141	自殺	じさつ	Noun, No-adjective, Suru verb	1.-suicide	2.-Suicide																		
JLPT-N3	142	逮捕	たいほ	Noun, Suru verb	1.-arrest; apprehension; capture	2.-Arrest																		
JLPT-N3	143	爆発	ばくはつ	Noun, Suru verb	1.-explosion; detonation; eruption	2.-eruption (of discontent, etc.); outburst; outpouring	3.-Explosion																	
JLPT-N3	144	論文	ろんぶん	Noun	1.-thesis; essay; treatise; paper; article	2.-Thesis																		
JLPT-N3	145	記録	きろく	Noun	1.-record; minutes; document	2.-record (e.g. in sports); results; score	3.-to record; to document	4.-to set a record (e.g. in sports); to show a result; to reach a value	5.-Recording															
JLPT-N3	146	世紀	せいき	Noun	1.-century	2.-era	3.-Century																	
JLPT-N3	147	頭痛	ずつう	Noun	1.-headache	2.-Headache																		
JLPT-N3	148	契約	けいやく	Noun, Suru verb	1.-contract; compact; agreement	2.-Contract																		
JLPT-N3	149	精神	せいしん	Noun	1.-mind; spirit; soul; heart; ethos	2.-attitude; mentality; will; intention	3.-spirit (of a matter); essence; fundamental significance	4.-Spirit																
JLPT-N3	150	牛	うし	Noun	1.-cattle (Bos taurus); cow; bull; ox; calf	2.-beef	"3.-Chinese ""Ox"" constellation (one of the 28 mansions)"	4.-Cattle																
JLPT-N3	151	優勝	ゆうしょう	Noun, Suru verb	1.-overall victory; championship	2.-Yūshō																		
JLPT-N3	152	独立	どくりつ	Noun, Suru verb	1.-independence; self-reliance; supporting oneself; being on one's own	2.-independence (e.g. of a nation); freedom	3.-separation; isolation	4.-Independence																
JLPT-N3	153	記憶	きおく	Noun, Suru verb	1.-memory; recollection; remembrance	2.-storage	3.-Memory																	
JLPT-N3	154	俳優	はいゆう	Noun, No-adjective	1.-actor; actress; player; performer	2.-Actor																		
JLPT-N3	155	公平	こうへい	Noun, Na-adjective	1.-fairness; impartiality; justice; objectivity	2.-Impartiality																		
JLPT-N3	156	額	がく	Noun	1.-(picture) frame; framed picture	2.-amount (esp. of money); sum	3.-Forehead																	
JLPT-N3	157	州	しゅう	Noun, Noun - used as a suffix	1.-state (US, Australia, India, Germany, etc.); province (e.g. Canada); canton (e.g. Switzerland); oblast (e.g. Russia); department (e.g. ancient China)	2.-continent	3.-dear	4.-Zhou (country subdivision)																
JLPT-N3	158	強盗	ごうとう	Noun	1.-robber; mugger	2.-robbery; burglary	3.-Robbery																	
JLPT-N3	159	生命	せいめい	Noun	1.-life; existence	2.-Life																		
JLPT-N3	160	輸入	ゆにゅう	Noun, Suru verb	1.-import; importation; introduction	2.-afferent	3.-Import																	
JLPT-N3	161	命令	めいれい	Noun, Suru verb	1.-order; command; decree; directive	2.-(software) instruction; statement	3.-Command																	
JLPT-N3	162	輸入	ゆにゅう	Noun, Suru verb	1.-import; importation; introduction	2.-afferent	3.-Import																	
JLPT-N3	163	記事	きじ	Noun	1.-article; news story; report; account	2.-Article (publishing)																		
JLPT-N3	164	宇宙	うちゅう	Noun	1.-universe; cosmos; space	2.-Universe																		
JLPT-N3	165	計算	けいさん	Noun, Suru verb	1.-calculation; reckoning; count	2.-forecast	3.-Calculation																	
JLPT-N3	166	合図	あいず	Noun, Suru verb	1.-sign; signal; cue	2.-Phase diagram																		
JLPT-N3	167	銃	じゅう	Noun	1.-gun; rifle; small arms	2.-Firearm																		
JLPT-N3	168	医師	いし	Noun, No-adjective	1.-doctor; physician	2.-Physician																		
JLPT-N3	169	禁煙	きんえん	Noun, Suru verb, No-adjective	1.-abstaining from smoking; quitting smoking	2.-No Smoking!; Smoking Prohibited!	3.-Smoking ban																	
JLPT-N3	170	握手	あくしゅ	Noun, Suru verb	1.-handshake	2.-reconciliation; joining hands; cooperation	3.-Handshake																	
JLPT-N3	171	現実	げんじつ	Noun	1.-reality; actuality; hard fact	2.-Reality																		
JLPT-N3	172	友情	ゆうじょう	Noun	1.-friendship; fellowship; camaraderie	2.-Friendship																		
JLPT-N3	173	香り	かお	Noun	1.-aroma; fragrance; scent; smell	2.-Kaoru Genji																		
JLPT-N3	174	生物	せいぶつ	Noun	1.-living thing; organism; creature; life	2.-biology	3.-Organism																	
JLPT-N3	175	方向	ほうこう	Noun	1.-direction; orientation; bearing; way	2.-course (e.g. of action)	3.-Direction (geometry)																	
JLPT-N3	176	攻撃	こうげき	Noun, Suru verb	1.-attack; assault; raid; onslaught; offensive	2.-criticism; censure; denunciation; condemnation	3.-Attack																	
JLPT-N3	177	訓練	くんれん	Noun, Suru verb	1.-training; drill; practice; discipline	2.-Training																		
JLPT-N3	178	企業	きぎょう	Noun	1.-enterprise; business; company; corporation	2.-Business																		
JLPT-N3	179	宗教	しゅうきょう	Noun	1.-religion; religious affiliation; belief; faith; creed	2.-religious activity	3.-Religion																	
JLPT-N3	180	役割	やくわり	Noun	1.-part; assigning (allotment of) parts; role; duties	2.-Role																		
JLPT-N3	181	芸術	げいじゅつ	Noun	1.-(fine) art; the arts	2.-Art																		
JLPT-N3	182	服装	ふくそう	Noun	1.-garments; attire	2.-Costume																		
JLPT-N3	183	羽	はね	Noun	1.-feather; plume; down	2.-wing	3.-blade (of a fan, propeller, etc.)	4.-shuttlecock (in badminton)	5.-shuttlecock (in hanetsuki)	6.-arrow feathers	7.-Flügel													
JLPT-N3	184	流れ	なが	Noun	1.-flow (of a fluid or gas); stream; current	2.-flow (of people, things); passage (of time); tide; passing; (changing) trends; tendency	3.-course (of events); (step-by-step) procedure; process	4.-group of people who remain together after the end of an event	5.-descent; ancestry; school	6.-forfeiture; foreclosure	7.-cancellation	8.-drifting; wandering; roaming	9.-Flow											
JLPT-N3	185	宗教	しゅうきょう	Noun	1.-religion; religious affiliation; belief; faith; creed	2.-religious activity	3.-Religion																	
JLPT-N3	186	個人	こじん	Noun, No-adjective	1.-individual; private person; personal; private	2.-Individual																		
JLPT-N3	187	広告	こうこく	Noun, Suru verb, No-adjective	1.-advertisement; advertising	2.-announcement; notice	3.-Advertising																	
JLPT-N3	188	無料	むりょう	No-adjective, Noun	1.-free (of charge); gratuitous	2.-Gratis																		
JLPT-N3	189	署名	しょめい	Noun, Suru verb	1.-signature	2.-Signature																		
JLPT-N3	190	駐車	ちゅうしゃ	Noun, Suru verb, No-adjective	1.-parking (e.g. car)	2.-Parking																		
JLPT-N3	191	王様	おうさま	Noun	1.-king	2.-Ōsama (musician)																		
JLPT-N3	192	宝石	ほうせき	Noun, No-adjective	1.-gem; jewel; precious stone	2.-Gemstone																		
JLPT-N3	193	証明	しょうめい	Noun, Suru verb, No-adjective	1.-proof; verification; certification	2.-Mathematical proof																		
JLPT-N3	194	現金	げんきん	Noun	1.-cash; ready money; money on hand; currency	2.-mercenary; self-interested; calculating	3.-Cash																	
JLPT-N3	195	塔	とう	Noun, Noun - used as a suffix	1.-tower; steeple; spire	2.-stupa; pagoda; dagoba	3.-Tower																	
JLPT-N3	196	博士	はかせ	Noun	1.-expert; learned person	2.-doctor; PhD; Dr.	3.-instructor at the imperial court (ritsuryo period)	4.-pitch and length marks (to accompany a Buddhist liturgical chant, etc.)	5.-Doctor (title)															
JLPT-N3	197	芝居	しばい	Noun	1.-play; drama	2.-Acting																		
JLPT-N3	198	出版	しゅっぱん	Noun, Suru verb	1.-publication	2.-Publishing																		
JLPT-N3	199	話題	わだい	Noun, No-adjective	1.-topic; subject	2.-Topic–comment																		
JLPT-N3	200	競技	きょうぎ	Noun, Suru verb, No-adjective	1.-game; match; contest	2.-Competition (economics)																		
JLPT-N3	201	競技	きょうぎ	Noun, Suru verb, No-adjective	1.-game; match; contest	2.-Competition (economics)																		
JLPT-N3	202	軍隊	ぐんたい	Noun	1.-armed forces; military; troops	2.-Armed forces																		
JLPT-N3	203	診察	しんさつ	Noun, Suru verb	1.-medical examination	2.-Physical examination																		
JLPT-N3	204	投票	とうひょう	Noun, Suru verb, No-adjective	1.-voting; poll	2.-Voting																		
JLPT-N3	205	離婚	りこん	Noun, Suru verb	1.-divorce	2.-Divorce																		
JLPT-N3	206	年寄り	としよ	Noun, No-adjective	1.-old person; elderly person; senior citizen	2.-trustee of the Japan Sumo Association; retired high-ranking wrestler who is licensed to coach and receives retirement pay	3.-senior statesman (of the Tokugawa shogunate)	4.-important local official (under the Tokugawa Shogunate)	5.-Toshiyori															
JLPT-N3	207	販売	はんばい	Noun, Suru verb	1.-sales; selling; marketing	2.-Sales	3.-ハンバイ																	
JLPT-N3	208	影	かげ	Noun	1.-shadow; silhouette; figure; shape	2.-reflection; image	3.-ominous sign	4.-light (stars, moon)	5.-trace; shadow (of one's former self)	6.-Shadow														
JLPT-N3	209	衝突	しょうとつ	Noun, Suru verb	1.-collision; crash; running into	2.-conflict; quarrel; clashing	3.-Collision																	
JLPT-N3	210	心臓	しんぞう	Noun, No-adjective	1.-heart	2.-guts; nerve; cheek; gall; spine	3.-central part	4.-Heart																
JLPT-N3	211	型	かた	Noun	1.-model; type (e.g. of machine, goods, etc.)	2.-type; style; pattern	3.-mold (mould); template; model	4.-kata (standard form of a movement, posture, etc. in martial arts, sport, etc.)	5.-form (i.e. customary procedure)	6.-size (i.e. clothing, shoes)	7.-inch (in diagonal display size)	8.-(taxonomical) form	9.-Type											
JLPT-N3	212	平均	へいきん	Noun, Suru verb	1.-average; mean	2.-balance; equilibrium	3.-Average																	
JLPT-N3	213	輸出	ゆしゅつ	Noun, Suru verb	1.-export; exportation	2.-efferent	3.-Export																	
JLPT-N3	214	永遠	えいえん	Noun, No-adjective, Na-adjective	1.-eternity; perpetuity; permanence; immortality	2.-Eternity																		
JLPT-N3	215	冒険	ぼうけん	Noun, Suru verb	1.-adventure; venture	2.-venture which is unlikely to succeed; risky attempt; danger; hazard; risk	3.-Adventure																	
JLPT-N3	216	未来	みらい	Noun, No-adjective	1.-the future (usually distant)	2.-future tense	3.-the world to come	4.-Future																
